origintime,latitude,longitude,depth,magnitude
2014-02-21T11:43:34.000000Z,13.031,-70.616,145,5.2
2014-02-22T10:30:15.300000Z,18.869,-70.373,16.6,2.5
2014-02-22T18:29:14.000000Z,18.209,-68.851,131,2.5
2014-02-23T07:53:43.600000Z,19.136,-66.877,0,3.7
2014-02-23T10:10:09.900000Z,18.259,-69.5,92.8,2.0
2014-02-24T08:46:35.000000Z,17.899,-69.089,91.1,2.3
2014-02-24T15:19:34.100000Z,19.534,-70.735,24.9,3.0
2014-02-26T02:57:10.000000Z,18.665,-73.516,22.1,2.2
2014-02-26T04:41:44.600000Z,18.083,-68.846,102,2.2
2014-02-26T05:59:51.000000Z,17.915,-72.203,24.3,2.4
2014-02-27T03:06:34.600000Z,19.218,-69.605,17.3,2.2
2014-02-27T12:46:43.700000Z,18.762,-72.083,70,3.1
2014-02-28T19:58:34.300000Z,19.712,-71.034,0,2.1
2014-03-01T02:14:13.600000Z,18.653,-69.671,88.5,3.5
2014-03-02T03:55:02.900000Z,18.824,-70.348,79.1,2.6
2014-03-02T06:56:53.400000Z,19.236,-70.746,6.8,1.6
2014-03-02T20:05:10.000000Z,20.021,-71.233,9.8,2.6
2014-03-03T00:25:04.700000Z,18.984,-68.768,19.7,2.4
2014-03-04T08:36:37.200000Z,18.067,-68.385,82.9,2.9
2014-03-04T09:33:24.300000Z,19.18,-67.34,25,3.7
2014-03-05T04:53:03.200000Z,18.583,-70.844,83.3,2.1
2014-03-05T05:07:25.000000Z,19.674,-73.673,44.1,2.2
2014-03-05T08:24:46.100000Z,18.303,-68.773,25,2.9
2014-03-05T14:48:05.800000Z,18.714,-70.377,10.1,1.4
2014-03-06T04:19:27.400000Z,19.996,-70.356,20,1.8
2014-03-06T21:56:44.000000Z,19.329,-67.833,0,4.8
2014-03-07T06:16:21.500000Z,19.507,-67.642,36.3,3.9
2014-03-07T13:42:00.700000Z,20.901,-72.217,45,2.7
2014-03-07T23:38:48.000000Z,18.786,-65.489,0,3.4
2014-03-08T00:55:19.500000Z,19.463,-67.896,37.9,2.8
2014-03-08T03:50:23.200000Z,19.267,-67.804,21.5,4.2
2014-03-08T04:05:59.900000Z,19.338,-67.866,22.1,2.5
2014-03-08T06:34:26.600000Z,19.278,-67.83,16.5,3.5
2014-03-08T08:04:24.300000Z,18.127,-68.3,41,2.4
2014-03-08T09:35:38.400000Z,19.383,-67.745,28.3,3.2
2014-03-09T08:57:55.200000Z,18.079,-68.44,97.4,2.1
2014-03-09T17:17:01.500000Z,18.312,-70.027,150,2.5
2014-03-09T22:02:42.200000Z,19.365,-67.762,14.4,3.1
2014-03-10T04:12:47.200000Z,17.198,-68.207,55.2,2.5
2014-03-10T05:19:56.300000Z,43.146,-105.622,0.1,6.8
2014-03-10T15:47:14.200000Z,19.327,-67.833,0,3.6
2014-03-12T11:50:43.900000Z,19.322,-66.969,16.5,4.1
2014-03-13T08:50:23.500000Z,18.589,-73.465,33.6,2.5
2014-03-14T03:32:06.400000Z,20.134,-70.273,27,2.3
2014-03-14T08:11:59.700000Z,19.966,-70.683,50.9,2.1
2014-03-14T08:19:45.400000Z,19.575,-70.7,24.7,3.1
2014-03-14T11:53:55.500000Z,19.864,-69.929,29.6,2.5
2014-03-16T06:38:32.700000Z,17.965,-71.902,11.6,2.2
2014-03-16T11:23:49.100000Z,18.259,-69.615,84.8,2.1
2014-03-16T13:31:27.400000Z,19.105,-69.837,28.7,1.8
2014-03-17T05:31:26.900000Z,18.994,-66.608,33.4,2.8
2014-03-17T07:31:52.300000Z,19.141,-70.781,30.6,2.2
2014-03-17T12:55:05.200000Z,18.818,-67.945,45.9,3.1
2014-03-18T16:45:02.400000Z,18.313,-71.963,35.9,2.6
2014-03-20T12:13:41.200000Z,17.937,-68.747,148,3.2
2014-03-20T13:25:25.000000Z,18.693,-67.999,95.7,2.3
2014-03-20T15:23:02.400000Z,18.559,-73.116,1.3,2.4
2014-03-21T18:15:41.100000Z,19.084,-70.274,84.2,2.5
2014-03-22T01:11:40.400000Z,18.632,-73.627,20,3.7
2014-03-25T04:19:33.000000Z,19.043,-67.77,10.1,1.8
2014-03-27T22:39:27.500000Z,18.91,-69.645,61.1,2.3
2014-03-29T10:57:52.900000Z,18.933,-67.657,20.1,2.9
2014-03-29T11:28:12.600000Z,18.857,-71.882,65,2.5
2014-03-29T21:20:58.700000Z,18.169,-71.691,14.7,2.7
2014-03-30T19:35:53.600000Z,18.215,-67.913,119,2.6
2014-04-04T19:07:43.300000Z,18.066,-68.494,25,2.6
2014-04-05T08:07:28.200000Z,18.336,-66.982,137,2.4
2014-04-06T10:50:54.300000Z,17.988,-69.489,12.5,2.4
2014-04-06T22:57:47.800000Z,18.142,-66.896,17.8,2.1
2014-04-07T02:12:14.000000Z,17.923,-73.617,45,2.5
2014-04-07T03:14:17.200000Z,20.128,-70.626,22.9,3.3
2014-04-07T07:14:24.400000Z,18.952,-67.634,51.8,2.0
2014-04-09T00:15:36.600000Z,19.636,-67.869,65.3,2.4
2014-04-09T09:32:07.800000Z,17.9,-71.344,105,2.5
2014-04-09T17:53:20.000000Z,18.284,-68.705,108,4.3
2014-04-09T20:45:51.700000Z,18.83,-67.35,21.3,2.8
2014-04-10T16:08:16.600000Z,19.233,-68.444,25.9,2.4
2014-04-11T07:28:05.600000Z,19.052,-70.291,81.9,2.1
2014-04-12T13:30:30.700000Z,19.879,-70.255,45,2.7
2014-04-12T23:50:00.900000Z,17.957,-71.976,0,1.9
2014-04-13T13:20:44.400000Z,19.024,-68.974,76.2,2.8
2014-04-14T09:46:36.500000Z,17.66,-69.171,85,2.4
2014-04-15T01:33:58.200000Z,18.565,-69.503,97.8,2.7
2014-04-15T04:53:52.200000Z,18.091,-72.001,0,2.2
2014-04-15T09:48:59.400000Z,19.755,-70.843,0,1.6
2014-04-16T06:34:06.000000Z,17.911,-69.351,1.8,2.3
2014-04-16T08:22:08.800000Z,17.668,-68.786,32,2.5
2014-04-18T14:16:54.600000Z,18.126,-68.78,138,3.0
2014-04-19T10:42:12.900000Z,18.91,-67.593,10.4,2.1
2014-04-21T00:12:03.700000Z,17.916,-69.792,73,2.4
2014-04-21T04:13:58.100000Z,17.765,-68.991,27.9,2.2
2014-04-22T00:23:28.500000Z,17.78,-68.712,32.4,2.5
2014-04-22T08:42:32.800000Z,18.577,-69.679,113,2.1
2014-04-22T11:28:44.400000Z,18.729,-67.516,10.1,2.4
2014-04-22T19:47:15.900000Z,17.869,-68.096,86.9,2.6
2014-04-22T23:49:31.500000Z,18.794,-67.449,28.4,2.0
2014-04-23T04:37:16.600000Z,18.472,-70.177,79.7,2.1
2014-04-23T15:59:20.600000Z,18.597,-68.411,141,3.1
2014-04-24T03:54:22.800000Z,18.183,-69.166,132,2.4
2014-04-24T04:10:37.900000Z,19.559,-70.813,35.1,1.2
2014-04-24T06:52:59.600000Z,19.098,-69.681,104,3.3
2014-04-24T09:44:23.600000Z,18.953,-69.713,106,2.0
2014-04-25T03:06:24.000000Z,17.817,-68.542,94.7,2.5
2014-04-25T10:21:27.700000Z,19.002,-69.706,93.4,2.4
2014-04-25T11:24:40.200000Z,18.665,-73.594,6.4,2.5
2014-04-26T02:50:35.200000Z,18.657,-67.456,35,2.0
2014-04-26T08:35:01.100000Z,18.623,-70.328,21.3,1.4
2014-04-26T14:19:53.100000Z,19.481,-70.3,5,3.0
2014-04-26T19:12:03.300000Z,18.511,-72.782,9.1,1.5
2014-04-27T05:09:18.100000Z,19.44,-70.327,10.1,2.4
2014-04-27T06:36:37.300000Z,19.384,-68.591,17.4,2.3
2014-04-27T08:19:46.500000Z,19.739,-71.546,0.6,2.6
2014-04-27T10:40:14.500000Z,19.554,-70.327,0,2.3
2014-04-27T11:17:17.100000Z,18.465,-72.884,20.1,2.0
2014-04-27T15:44:53.100000Z,18.485,-72.928,21.5,1.6
2014-04-28T01:31:33.200000Z,19.524,-73.78,80,2.6
2014-04-28T12:23:35.000000Z,19.602,-70.328,39.7,1.8
2014-04-28T21:09:56.200000Z,19.96,-73.644,85,2.6
2014-04-29T07:34:28.500000Z,18.49,-66.108,87.3,3.0
2014-04-29T14:38:10.900000Z,18.839,-70.285,25.8,2.2
2014-04-29T16:38:56.100000Z,19.042,-69.0,6.5,2.0
2014-04-30T10:07:08.700000Z,18.56,-73.407,44.1,2.2
2014-04-30T19:26:05.100000Z,19.768,-71.133,9.5,2.4
2014-05-01T12:23:49.900000Z,17.424,-68.611,45.8,2.6
2014-05-01T19:08:42.600000Z,18.421,-72.436,23,2.1
2014-05-01T21:17:22.300000Z,18.418,-72.453,27.4,1.4
2014-05-01T23:34:26.500000Z,20.106,-70.761,26.5,2.0
2014-05-02T20:02:47.000000Z,20.033,-73.481,65,2.6
2014-05-02T20:26:53.900000Z,17.947,-66.803,45,3.1
2014-05-02T21:12:06.100000Z,18.523,-73.024,10.8,2.3
2014-05-03T04:06:14.400000Z,18.536,-72.515,15.4,0.8
2014-05-03T05:48:04.100000Z,18.405,-72.495,27.1,1.0
2014-05-04T01:25:12.100000Z,18.454,-72.177,12,1.4
2014-05-04T02:11:02.500000Z,18.391,-69.772,7.8,1.9
2014-05-05T06:53:12.100000Z,18.221,-72.104,27,1.1
2014-05-05T07:50:09.100000Z,19.889,-73.545,105,2.2
2014-05-05T09:40:00.300000Z,19.033,-66.745,19.9,2.6
2014-05-05T09:50:58.600000Z,19.017,-66.749,20.4,3.2
2014-05-05T09:54:34.900000Z,18.998,-66.677,32.3,2.3
2014-05-05T16:02:43.500000Z,18.817,-72.779,31.8,1.5
2014-05-05T19:57:35.600000Z,17.975,-69.553,85.5,3.2
2014-05-06T03:54:01.100000Z,19.433,-73.925,5,2.0
2014-05-06T06:04:33.800000Z,18.999,-66.354,19.1,4.1
2014-05-06T06:25:06.700000Z,18.811,-66.721,25,1.8
2014-05-06T07:08:02.500000Z,19.188,-66.259,0,2.8
2014-05-06T07:29:51.400000Z,18.655,-67.23,5,1.4
2014-05-07T00:46:03.400000Z,18.541,-72.476,9.5,1.4
2014-05-07T01:24:24.200000Z,18.667,-72.386,10.7,1.2
2014-05-07T08:27:42.300000Z,18.508,-72.622,16.8,1.5
2014-05-07T12:32:41.100000Z,18.277,-72.662,31.3,1.5
2014-05-07T13:16:32.800000Z,18.676,-72.337,10.1,1.4
2014-05-07T16:00:07.400000Z,18.128,-68.549,19.9,2.5
2014-05-08T02:03:26.200000Z,18.853,-66.983,52.2,4.1
2014-05-08T16:09:36.100000Z,17.524,-68.977,17.6,2.5
2014-05-08T21:21:51.700000Z,19.396,-69.056,2.1,2.4
2014-05-08T22:41:14.600000Z,17.742,-69.332,30.9,2.8
