origintime,latitude,longitude,depth,magnitude
2014-01-25T18:27:11.900000Z,15.464,-69.881,116.6,0.9
2014-01-26T01:19:42.700000Z,15.37,-69.45,76.4,0.8
2014-01-26T20:20:56.100000Z,15.399,-68.499,51.4,1.3
2014-01-27T04:09:07.500000Z,15.075,-69.687,91.1,0.8
2014-01-27T06:21:50.900000Z,15.339,-69.979,83.6,0.8
2014-01-27T07:22:29.200000Z,15.586,-70.475,52.8,1.7
2014-01-28T19:13:32.600000Z,15.511,-69.411,50.9,1.2
2014-01-28T21:43:29.700000Z,15.246,-69.295,51.1,0.9
2014-01-29T21:56:52.100000Z,18.576,-66.808,123,0.2
2014-01-29T23:58:33.900000Z,15.333,-69.177,79.9,1.1
2014-01-30T08:25:52.800000Z,15.971,-67.435,84.7,1.1
2014-01-30T09:08:03.000000Z,15.123,-70.305,15,1.6
2014-01-31T05:21:25.600000Z,15.156,-69.356,15,3.6
2014-02-01T11:29:27.800000Z,18.185,-71.723,0,3.1
2014-02-01T20:06:15.000000Z,18.697,-64.615,0,1.1
2014-02-01T20:49:49.000000Z,16.19,-71.844,214.8,1.6
2014-02-02T00:40:01.700000Z,15.166,-69.715,86.9,0.8
2014-02-02T04:44:48.700000Z,15.485,-69.639,82.6,3.4
2014-02-02T13:06:42.800000Z,18.856,-67.29,0,0.3
2014-02-03T01:19:16.000000Z,19.129,-71.653,124.9,0.5
2014-02-03T05:27:57.400000Z,18.611,-64.538,0,1.9
2014-02-03T06:17:43.800000Z,19.65,-70.849,0,0.4
2014-02-03T10:16:31.500000Z,18.82,-69.655,73,0.4
2014-02-04T06:39:36.300000Z,16.054,-70.508,81.7,0.8
2014-02-04T10:18:55.900000Z,15.678,-69.232,85.1,0.8
2014-02-04T12:43:04.200000Z,15.507,-70.431,15,3.7
2014-02-04T23:10:35.100000Z,15.54,-69.483,15,3.9
2014-02-05T02:18:00.900000Z,15.44,-70.989,15,2.9
2014-02-05T21:08:42.000000Z,15.718,-68.138,15,3.2
2014-02-06T06:06:20.700000Z,15.174,-69.726,80.5,0.7
2014-02-06T11:09:22.900000Z,15.824,-69.932,87.5,1.5
2014-02-06T16:04:47.400000Z,20.461,-75.385,0,1.6
2014-02-07T01:54:08.700000Z,15.819,-71.283,81.2,0.7
2014-02-07T03:48:27.700000Z,15.419,-69.689,76.8,0.7
2014-02-07T06:11:19.100000Z,15.818,-69.954,81.7,0.9
2014-02-07T13:37:45.200000Z,19.308,-68.347,30.4,0.0
2014-02-07T22:32:28.900000Z,15.297,-69.976,15,3.3
2014-02-09T06:46:34.000000Z,16.513,-70.084,15,4.6
2014-02-09T15:26:53.600000Z,15.834,-69.851,15,4.5
2014-02-09T19:04:07.000000Z,16.064,-67.624,15,3.2
2014-02-10T04:47:25.700000Z,18.595,-66.821,25.9,1.1
2014-02-10T06:00:56.200000Z,15.891,-68.425,80.9,0.6
2014-02-10T06:17:05.800000Z,14.891,-67.907,80.1,0.9
2014-02-10T11:07:35.600000Z,15.762,-69.912,80.7,0.7
2014-02-10T18:33:39.600000Z,15.425,-69.381,15,3.3
2014-02-11T12:45:25.000000Z,15.372,-68.363,15,3.3
2014-02-12T01:26:37.800000Z,15.526,-69.561,15,3.3
2014-02-12T01:26:47.300000Z,14.991,-69.29,81.2,1.1
2014-02-12T03:55:55.400000Z,15.607,-70.165,95.5,0.7
2014-02-12T13:17:52.700000Z,15.178,-68.69,52.6,0.9
2014-02-12T22:29:30.200000Z,18.112,-66.15,0.1,1.2
2014-02-12T23:19:35.100000Z,15.144,-69.586,58,0.9
2014-02-13T20:18:40.700000Z,15.601,-70.299,15,3.1
2014-02-13T23:52:26.900000Z,18.514,-67.061,49.9,3.5
2014-02-14T01:43:54.200000Z,15.526,-69.516,15,3.5
2014-02-14T04:21:28.600000Z,15.305,-69.844,15,3.8
2014-02-15T01:47:42.600000Z,15.351,-69.542,80.7,0.8
